reviewId	reviewer	datePublished	starRatingOutOfFive	reviewTitle	reviewComment	source
1	MarioThrive	12/06/2023	5	Quick and easy	"""Buying with American AED was simple and they had great deals going on. Shipping was quick and the kit my AED came with works well! Thank you!"""	https://americanaed.com/
2	harbinger26	12/06/2023	5	Arrived promptly. No issues. 	"""Great company. Would definitely buy from them again."""	https://americanaed.com/
3	JasonDDS	12/06/2023	5	Good pricing and fast delivery 	"""They had the best pricing around and a good product description and shipped quickly to my home! No problems!"""	https://americanaed.com/
4	dburton_11	12/05/2023	5	Great products and service 	"""I have nothing but good to say about my buying decision with AED. The price was fair and product was better than other alternatives. Shipping was quick and on time."""	https://americanaed.com/
5	Reviewer3102335724	12/04/2023	5	Terrific 	"""Prompt delivery of the right product at a great price"""	https://americanaed.com/
6	Reviewer3757836180	12/04/2023	5	Fast shipping and great communication	"""The items shipped to me very quickly.  I received update emails from the time I ordered, all the way through delivery.  Highly recommend!"""	https://americanaed.com/
7	Reviewer2975643106	12/04/2023	5	Nicely packed.	"""Thankfully haven't needed to use it yet."""	https://americanaed.com/
8	Reviewer602778741	12/03/2023	5	Church Defibrillator 	"""We wanted to purchase one for our rural church as our congregation is aging and this unit fits our needs nicely,  the process was easy."""	https://americanaed.com/
9	Irvine92612	12/03/2023	3	Delivery takes forever!	"""I have yet to receive delivery of my order. The ordering was easy, but the shipping is taking forever. You would expect an order of about $1000.00 would be shipped fairly quickly; yet from the time I placed the order to the time Fedex is expected to deliver the package it is going to almost 2 weeks.  I received an e-mail from the vendor asking me if I am satisfied with my order. That shows they have no feedback when the package is delivered, and they do not care anyway!"""	https://americanaed.com/
10	Reviewer1902146126	12/03/2023	5	EXPERIENCE GOOD	"""PRICING GOOD AND TIMELY DELIVERY"""	https://americanaed.com/
11	Reviewer298431611	11/30/2023	5	Church use	"""Just what we needed for our church. Perfect for inexperienced people as well as experienced. But hope we dont have to use it."""	https://americanaed.com/
12	Reviewer3157841592	11/30/2023	5	Easy peasy	"""Easy to order, helpful suggestions, great pricing, fast delivery, good communication about backordered items. What more can you ask for?"""	https://americanaed.com/
13	CKraus986	11/29/2023	2	Incomplete shipment and dated product 	"""I ordered but did not receive child/infant pads, and haven’t received an email response from them regarding my missing item.

Also, the AED they provided me was dated over three years ago, and expires in two years. Pretty upsetting."""	https://americanaed.com/
14	Reviewer3676449881	11/28/2023	5	Quick Delivery	"""Delivered within a week of ordering. Came well packaged."""	https://americanaed.com/
15	Reviewer3119101954	11/27/2023	5	Reliable	"""Prices were competitive. Items were delivered in a timely manner."""	https://americanaed.com/
16	Reviewer3777257504	11/27/2023	5	Fast	"""Fast delivery. Excellent communication."""	https://americanaed.com/
17	Reviewer2631373776	11/27/2023	5	So Far So Good	"""Equipment was received quickly and as described.  Appears to be good quality, but I hope we never have to use it."""	https://americanaed.com/
18	Reviewer1980809319	11/26/2023	1	I haven’t receive my order 	"""I need someone to call me and let me know on the status of my order."""	https://americanaed.com/
19	Reviewer2216691220	11/25/2023	5	Easy	"""Arrived super quick.Extremely easy to set up.Quality is great.Whole experience.was 5 star!!"""	https://americanaed.com/
20	QuaintSwordfish-67789	11/23/2023	5	Fast, Prompt, Professional Service	"""I am very happy with the support and customer service provided by American AED.  I am confused though about how and where the  AED Management Services subscription is managed on the website I don't see any information on it anywhere."""	https://americanaed.com/
21	Reviewer4198596704	11/20/2023	5	Excellent Service	"""My experience was excellent with American AED. I had a customer who needed an AED immediately, so I ordered it and had it within 3 days. Very good experience and will be using them for all future sales."""	https://americanaed.com/
22	Reviewer1548063371	11/19/2023	3	Slow to fulfill 	"""Great quality product, easy site to navigate, slow to fulfill orders… 2-3 weeks."""	https://americanaed.com/
23	Reviewer1929733863	11/18/2023	5	Happy Customer!	"""Best price, quick delivery and product worked perfectly out of the box."""	https://americanaed.com/
24	Suazo	11/18/2023	5	Excellent Seller, Excellent AED, Excellent Condition	"""I was skeptical for weeks where to buy a RE-Furbished/RE- Certified AED because I wanted to make sure I got a good quality product at the best price possible.  First shipping was fast!!!  Second, Everything was packed professionally with all it's contents as if it was new.  Lastly, the AED was flawless. No signs of wear at all.  I inserted the battery and went through the initiation of the unit tests and the voice was crystal clear with great instructions. I've done the homework for you if you are skeptical in anyway, This seller takes pride in their products and presentation."""	https://americanaed.com/
25	Reviewer1823821097	11/18/2023	5	AED batteries 	"""Service and shipping was good. Product was as advertised. Thanks for the good experience. Will shop again."""	https://americanaed.com/
26	Reviewer1319052151	11/17/2023	5	Perfect	"""Received what we ordered.  Arrived in good condition."""	https://americanaed.com/
27	Reviewer3578407006	11/17/2023	5	So far so good 	"""All the services were great. Price was excellent. Hope I never need this product."""	https://americanaed.com/
28	Reviewer1903753007	11/09/2023	5	Thank you very kindly 	"""You made the purchase of our AED easy. Your professionalism and kindness is greatly appreciated."""	https://americanaed.com/
29	Reviewer1876536358	11/09/2023	5	Great Help!	"""Staff was friendly and products were sent as advised."""	https://americanaed.com/
30	Reviewer4175787373	11/09/2023	5	Safety First	"""I ordered one a couple of years ago for the shop and now that we expanded I ordered another to have in the lobby as well. They are easy to use and can save a persons life. We bought one to have at my parents home who are now in their late 70's and early 80's. We walked them through how to use it just in case. Better to be safe than sorry."""	https://americanaed.com/
31	Reviewer3970414582	11/08/2023	5	The AED's arrived in less than three days!	"""After placing the order, a confirmation was received that they had been shipped in less than 12 hours.  Great turnaround time on orders"""	https://americanaed.com/
32	Reviewer3526773753	11/08/2023	5	Great Products	"""Everything came as expected and quickly. Thank you"""	https://americanaed.com/
33	Reviewer3944967587	11/07/2023	5	Replacement AED Battery	"""Easy order delivered on time, reasonable price"""	https://americanaed.com/
34	PaMopars	11/07/2023	5	Heart strong.	"""Good product that arrived in a timely manner."""	https://americanaed.com/
35	Dougchilson	11/24/2023	1	Not the greatest	"""I called on Oct 30th to place an order over the phone. We had a hiccup with payment on the phone using my HSA but then the rep said everything was fine and it went through. The next day I thought that was a decent deal on the aed I ordered and decided to purchase another one for a family member. Went online on OCT 31st and placed my order online everything went through smoothly. I called the company on 11-1 and informed them I have not received tracking information for my first order yet I have already received information for my second order. My family received  their order on 11-3 I called the company once again and was assured my order would ship out that day and I would most likely receive it over the weekend or the latest on 11/06. Today is 11-06 I have not received my aed yet, I called around 11 am today to figure out what’s going on they said that the order was in the dock and going to be expedited to me with 2 day shipping. At 445 today I received a voicemail from the original sales person saying there was an issue with my purchase once again and that I would need to contact my Hsa bank but the aed company closes in 15 minutes. So frantically and very frustratingly I contacted my Hsa bank who stated they did not hold the charge it’s the aed company who doesn’t accept the card, but plenty of funds available to cover this charge. So contacted the sales rep once again and informed her what my Hsa company said so I asked her to run it through as an online order as that seemed like o be better than going through them. She claimed the order was processed and I will receive it by Wednesday. Only time will tell if they get it right this time around. I should have asked for something in return for all these mishaps on the companies behalf but chose not to. If I do not receive my order I will be returning the other one and making a bad review on the bbb website."""	https://americanaed.com/
