reviewId	reviewer	reviewerLocation	datePublished	starRatingOutOfFive	reviewTitle	reviewComment	product	source
1	C Sue Plant 	 Tijeras, NM United States	06/19/2023	5	Great product.	Thank you for this device. Very reasonably priced. Easy to use. So happy with this purchase.	Concord Portable Handheld Pulse Oximeter Monitor with Loud Audible Alarms and Large Color Display	https://www.concordhealthsupply.com/
2	Karen McCune 	 Indianapolis, IN United States	05/19/2023	5	perfect for people with Raynaud's syndrome.	Easy to use, ear piece attaches easily and firmly.  The continuous read is really nice to track recovery with exertion.  Quick reading.  Small enough to take to doctor's where they only have finger versions.	Concord Portable Handheld Pulse Oximeter Monitor with Loud Audible Alarms and Large Color Display	https://www.concordhealthsupply.com/
3	Gordon Richardt 	 St Charles, IL United States	03/13/2023	5	Oximeter monitor	The unit works great. It was worth the investment.	Concord Portable Handheld Pulse Oximeter Monitor with Loud Audible Alarms and Large Color Display	https://www.concordhealthsupply.com/
4	Richard Denman 	 Round Rock, TX United States	01/19/2023	5	Works great	This item works great, we got the earlobe sensor because my wife's cold hands make the little finger units unreliable.	Concord Portable Handheld Pulse Oximeter Monitor with Loud Audible Alarms and Large Color Display	https://www.concordhealthsupply.com/
5	Anonymous Person 	 Watkinsville, GA United States	01/03/2023	3	Concord handheld pulse oximeter with ear clip	I am using this item with an ear clip and find it difficult     to use . The ear clip is not tight enough and often gives a faulty reading. Usually requires several attempts to get a reading	Concord Portable Handheld Pulse Oximeter Monitor with Loud Audible Alarms and Large Color Display	https://www.concordhealthsupply.com/
6	Barbara Tourtellotte 	 Haddonfield, NJ United States	12/26/2022	5	Mom needed a pulse oximeter with ear clip	This was hard to find elsewhere.  Mom has notoriously cold fingers, making it difficult to get an accurate pulse oximetry reading.  The ear clip was suggested by a nurse, so I started searching.  Found Concord's unit, which, although it was a little more pricey than others, fits our needs perfectly.  It gives us valuable data.  And it even shipped out to us sooner than expected.  Thank you!	Concord Portable Handheld Pulse Oximeter Monitor with Loud Audible Alarms and Large Color Display	https://www.concordhealthsupply.com/
7	JESSE THURLOW 	 Kingsville, MD United States	10/24/2022	5	Concord Portable Handheld Pulse Oximeter Monitor	It comes with well cushioned protector. I bought it to take with me on walks. It is a bit bulky, however I find it more reliable then smaller finger pulse ox's.	Concord Portable Handheld Pulse Oximeter Monitor with Loud Audible Alarms and Large Color Display	https://www.concordhealthsupply.com/
8	Roscoe Brown 	 Douds, IA United States	05/04/2022	5	Will buy all med necessaties from you.	Amazing product.  Best customer service w personal assistance.  $50 less than Amazon.  Ordered on Sunday received on Tuesday.  Thank you all of your staff!	Concord Portable Handheld Pulse Oximeter Monitor with Loud Audible Alarms and Large Color Display	https://www.concordhealthsupply.com/
9	Bruce		02/07/2022	5	Excellent service, pleased with the product!	Service was excellent, product delivered in a timely manner. Pulse Oximeter works as advertised. A good experience!	Concord Portable Handheld Pulse Oximeter Monitor with Loud Audible Alarms and Large Color Display	https://www.concordhealthsupply.com/
10	Terena Schaefer 	 Norborne, MO United States	06/21/2021	5	AWESOME!	I had no idea a non medical person could purchase an item like this.  It is amazing.   Accurate and easy to use.  I did get the ear piece because of my lung disease the therapist said I would not get an accurate reading on my finger.	Concord Portable Handheld Pulse Oximeter Monitor with Loud Audible Alarms and Large Color Display	https://www.concordhealthsupply.com/
11	Paul Ogden 	 Auburn, CA United States	06/14/2021	5	Purchase of Oximeter	Excellent service after initial delay.  Excellent help on return of sensor.	Concord Portable Handheld Pulse Oximeter Monitor with Loud Audible Alarms and Large Color Display	https://www.concordhealthsupply.com/
12	Malissa Hobson 	 Waynetown , IN United States	03/29/2021	5		This works very well.  My husband has cold fingers so I needed the ear lobe attachment. So happy with this purchase.	Concord Portable Handheld Pulse Oximeter Monitor with Loud Audible Alarms and Large Color Display	https://www.concordhealthsupply.com/
13	j weeks 	 Tucson, AZ United States	02/19/2021	5	75023 pulse oximeter	i have only had the device for 2 days, but in that time it is fulfilling my needs for an ear lobe sensor oximeter. The finger tip oximeters did not provide adequate nor dependable readings as my finger tips seem to not have the response rate needed.  At this time I am very satisfied.	Concord Portable Handheld Pulse Oximeter Monitor with Loud Audible Alarms and Large Color Display	https://www.concordhealthsupply.com/
14	Anonymous Person		01/29/2021	5	Concord Pulse oximeter	I was in need of an accurate, easy to use pulse oximeter during a recent pulmonary infection. The unit functioned as advertised online and has performed perfectly. I highly recommend this product  to anyone seeking an accurate pulse oximeter at a reasonable price.	Concord Portable Handheld Pulse Oximeter Monitor with Loud Audible Alarms and Large Color Display	https://www.concordhealthsupply.com/
15	Simmons 	 Florida	10/03/2020	3	Gives accurate readings	As a CPAP wearer, I wanted to be sure my oxygen saturation was not dropping during sleep. I’m also a retired critical care nurse and have used this type of device on patients. It appears accurate and reliable. Cons- it does not keep a history to review later, after awakening. It did alarm once while I was sleeping, when my Saturation was below the alarm limits I set. There is no way of knowing if I had other events that I missed. The original batteries last three nights, so I use rechargeable batteries, which I change every three days. A more advanced monitor is  too costly.	Concord Portable Handheld Pulse Oximeter Monitor with Loud Audible Alarms and Large Color Display	https://www.concordhealthsupply.com/
16	Steven Geller 	 ELKRIDGE, MD United States	09/28/2020	5	more accurate than finger pulse ox	We purchased this because we were getting inaccurate readings from finger pulse oximeters. The readings from this unit are much more accurate.	Concord Portable Handheld Pulse Oximeter Monitor with Loud Audible Alarms and Large Color Display	https://www.concordhealthsupply.com/
17	Anonymous Person 	 Chesapeake, VA United States	08/10/2020	5			Concord Portable Handheld Pulse Oximeter Monitor with Loud Audible Alarms and Large Color Display	https://www.concordhealthsupply.com/
18	Chandresh Patel 	 Livermore, CA United States	03/12/2020	5	Easy and accurate	I bought this to give me a more accurate reading of 02 saturations than the finger tip models, I have always noticed variances and my doctor said that ear and forehead monitors were more accurate. The model looks to be rugged, accurate and works great. I had a question which Concord Health answered promptly.	Concord Portable Handheld Pulse Oximeter Monitor with Loud Audible Alarms and Large Color Display	https://www.concordhealthsupply.com/
19	Charles Pefley 	 Seattle, WA United States	02/05/2020	4	Excellent Unit ...	I'm very pleased with my Pulse Oximeter #75023. I bought this unit specifically because it can use an ear clip probe. I need the ear probe because I frequently have poor circulation in my fingers and using the ear probe lets me monitor my O2 sat while working out on the treadmill. The oximeter comes with a protective rubber case that was extremely difficult to remove. Very hard for someone with limited finger strength. And the case must be removed to insert the batteries.  If it were not for the protective case issue I would give this unit all FIVE STARS.	Concord Portable Handheld Pulse Oximeter Monitor with Loud Audible Alarms and Large Color Display	https://www.concordhealthsupply.com/
20	Cheryl 	 Esko, MN United States	11/25/2019	5	Great pulse oximeter!	This pulse oximeter is easy to set up and use. Good quality! Arrived quickly. Item is exactly as described.	Concord Portable Handheld Pulse Oximeter Monitor with Loud Audible Alarms and Large Color Display	https://www.concordhealthsupply.com/
21	Casey s 	 Utah	10/20/2019	4	Amazing, Peace of Mind	I am 25 years old and have recently run into really bad asthma attacks during the night. I am currently treating it and doing everything my doctor has suggested and prescribed to treat the asthma, but in the mean time while undergoing treatment, this product has given me peace of mind that if I do have an asthma attack while I sleep, either me or my wife will wake up to the alarm and I won't just die in my sleep. Would be five stars if there were an option to plug into the wall. Batteries are expensive and this goes through them FAST if you are using it for continuous monitoring.	Concord Portable Handheld Pulse Oximeter Monitor with Loud Audible Alarms and Large Color Display	https://www.concordhealthsupply.com/
22	Sharon Moles 	 Mc Leansboro, IL United States	12/05/2023	5	Kardia mobile card EKG Monitor by Alive Cor	I really love the ease of using the card. My cardiologist likes that I have it and I can show him my history. I have had the regular card but lost it so ordered the one that has batteries I can change. I like that feature.	KardiaMobile EKG Monitor [Original-Single Lead] by AliveCor	https://www.concordhealthsupply.com/
23	Sandy		12/05/2023	5	Christmas Gift	I'm giving it 5 stars because it didn't take long after I ordered it, it arrived.  Email with tracking number was sent within a day.  I will have to wait until my Husband opens it Christmas before I can review the monitor.	KardiaMobile EKG Monitor [Original-Single Lead] by AliveCor	https://www.concordhealthsupply.com/
