reviewId	reviewer	reviewerLocation	datePublished	starRatingOutOfFive	reviewTitle	reviewComment	product	source
1	Hannah	PORTLAND	11/12/2023	5	Great device	Quality product that does just what I need for EMS	InTENSity Twin Stim III Digital TENS & EMS Combo Unit + Free AC Adapter Included	https://www.tenspros.com/
2	Cody	Utah	09/15/2023	5	Works great	I call this my “shock therapy” and use it every day. Two of my therapists showed me what to do so that I use it correctly. The machine does what I need it to and I like how it can be set up. Strokes suck, but this machine helps rehabilitate.	InTENSity Twin Stim III Digital TENS & EMS Combo Unit + Free AC Adapter Included	https://www.tenspros.com/
3	Tim Sheeran	Grand Rapids	09/15/2023	5	owner	Great service and quality products!	InTENSity Twin Stim III Digital TENS & EMS Combo Unit + Free AC Adapter Included	https://www.tenspros.com/
4	SS	U.S.A	07/21/2023	5	Mr.	Good quality. These units are as effective for me as those that I've experienced in a professional treatments.	InTENSity Twin Stim III Digital TENS & EMS Combo Unit + Free AC Adapter Included	https://www.tenspros.com/
5	gali	california	07/10/2023	5	none	Stickers hurt the first time you pull off but it gets easier so no worries there . Item works as advertised . now just waiting for results .	InTENSity Twin Stim III Digital TENS & EMS Combo Unit + Free AC Adapter Included	https://www.tenspros.com/
6	Linda	Va. Beach, va	06/04/2023	5	Tens unit	This is my 3rd one I have bought. I bought one for myself , and bought each of my daughters one, for their birthdays. After using mine, they loved the results. I bought them each some supplies to go with them, and they are set. Now I don’t have to lend mine out, and really need it when someone else is using it. I also gave another friend the order info for your online order site, and she wants to buy one too. My husband has been using mine too, as he also likes it. Need I say more about your product. As you can see, we think it’s really great.	InTENSity Twin Stim III Digital TENS & EMS Combo Unit + Free AC Adapter Included	https://www.tenspros.com/
7	Anita	Atlanta, GA	03/26/2023	4	Ms.	Product works as advertised and has been helping with the improvements we needed. Also, most people might need a professional to explain where/how to properly place the electrodes. Only issue is that the electrodes lose their stickiness very quickly; easy fix is to clean after every use (just that it is inconvenient). Otherwise happy with the purchase.	InTENSity Twin Stim III Digital TENS & EMS Combo Unit + Free AC Adapter Included	https://www.tenspros.com/
8	June Gordon	Sebastopol	12/11/2022	5	Ms.	I am pleased with the TENS; it provides temporary relief from shoulder/back pain.	InTENSity Twin Stim III Digital TENS & EMS Combo Unit + Free AC Adapter Included	https://www.tenspros.com/
9	Angie baltzell	Mountain dale, ny	12/01/2022	5	Ease of use	Its a very nice and easy to use. I still cant get it to open my fingers. Its hard to figure out where to put the pads. But i use it every day and i got my thumb to move	InTENSity Twin Stim III Digital TENS & EMS Combo Unit + Free AC Adapter Included	https://www.tenspros.com/
10	Matt	Iowa	09/01/2022	5	Great purchase!	Quality device, works as promised.	InTENSity Twin Stim III Digital TENS & EMS Combo Unit + Free AC Adapter Included	https://www.tenspros.com/
11	Paul Richardson	Kelseyville	07/04/2022	4	Mr.	Excellent product with somewhat obscure documentation. Once you have worked with the unit, the documentation becomes easier to interpret, but it is not well organized, and is confusing for someone that is not technically inclined or experienced with electronics.	InTENSity Twin Stim III Digital TENS & EMS Combo Unit + Free AC Adapter Included	https://www.tenspros.com/
12	Mike	Syracuse, ny	05/31/2022	5	Great device	Very easy to use, well built affordable	InTENSity Twin Stim III Digital TENS & EMS Combo Unit + Free AC Adapter Included	https://www.tenspros.com/
13	Dr Tom Robertson	Odenton, MD	03/23/2022	5	Doctor of Chiropractic	"I've been using TENSpro's products for a long time and was happy to see this particular inexpensive programmable unit. I have been using a relatively new therapy for stress relief in patients called Transcutaneous Vagus Nerve Stimulation (tVNS) which requires a specific range for pulse rate. This unit is exactly what I need for my patients--I've been recommending that they get it along with the metallic-rubber earclips that are required for tVNS. Glad that TENSpros are able to keep up the supply for my increasing demand from my patients! tVNS may help with PTSD, tinnitus, inflammation reduction, possibly even hypertension and digestive disorders--anything that gets dys-regulated when over-stress causes vagus nerve ""disruption""."	InTENSity Twin Stim III Digital TENS & EMS Combo Unit + Free AC Adapter Included	https://www.tenspros.com/
14	Janene	Colorado	03/02/2022	5	Ms	This unit is a bargain for all that it does. It has been very impactful on tight sore muscles	InTENSity Twin Stim III Digital TENS & EMS Combo Unit + Free AC Adapter Included	https://www.tenspros.com/
15	Marx	Fl	02/06/2022	5	Mr.	I love this thing!!!!	InTENSity Twin Stim III Digital TENS & EMS Combo Unit + Free AC Adapter Included	https://www.tenspros.com/
16	Teresa	Fair Oaks	01/21/2022	5	Ms	Happy with the easy to use for this product. I have been in the market looking and my Physical Therapist suggested this product and it has been used often with my recent shoulder surgery to help with recovery. I definitely recommend it for anyone that is an athlete.	InTENSity Twin Stim III Digital TENS & EMS Combo Unit + Free AC Adapter Included	https://www.tenspros.com/
17	UP Mom	Skandia	11/19/2021	5	Helpful Home Unit	This product has helped with my arm rehabilitation by stimulating my deltoid, biceps and rotator cuff muscles. I highly recommend.	InTENSity Twin Stim III Digital TENS & EMS Combo Unit + Free AC Adapter Included	https://www.tenspros.com/
18	Mitch	Iowa	10/10/2021	5	Mr	Excellent easy to use device. Does what its supposed to and for a fair price.	InTENSity Twin Stim III Digital TENS & EMS Combo Unit + Free AC Adapter Included	https://www.tenspros.com/
19	denise	richmond, va	09/14/2021	5	Mrs	First, my husband loves the relief he is getting from the TENS unit. Second, I love the relief he is getting. It took us a while to figure out how to operate the unit...but now, we got it down. Great product. Great Service.	InTENSity Twin Stim III Digital TENS & EMS Combo Unit + Free AC Adapter Included	https://www.tenspros.com/
20	joe	usa	09/02/2021	4	mr	works as adveriised	InTENSity Twin Stim III Digital TENS & EMS Combo Unit + Free AC Adapter Included	https://www.tenspros.com/
21	Joe	MADISON	08/08/2021	5	user	I purchased this unit because I have been having dull aching back and leg pain. I was surprised that after the first treatment, the pain seemed less intense. Not miraculously gone, but it was more tolerable to function with. I have been seeing a chiropractor who asked me to bring in the unit. After looking it over and downloading the manual for me, she printed out some recommended settings for me to use and told me I had purchased a very good unit. I have been following her recommendations and I can honestly say it has helped me function a lot better. I got a very good price for the unit and some of the associated equipment. It was a very good investment for me and I would not hesitate to recommend it to anyone who has some type of pain or discomfort. There are quite a few settings to choose from and the best thing to do is experiment with what feels best for your specific condition. No complaints about it from me	InTENSity Twin Stim III Digital TENS & EMS Combo Unit + Free AC Adapter Included	https://www.tenspros.com/
22	Lynda Goodwin	Oregon	07/10/2021	5	Ms	This product has been very effective in relieving pain when other options have not worked. I am very thankful for the pain relief.	InTENSity Twin Stim III Digital TENS & EMS Combo Unit + Free AC Adapter Included	https://www.tenspros.com/
23	john dixon	ocala	05/23/2021	5	mr	We love this equipment. My wife has weak wrists and was in constant pain, using copper gloves to support her wrists. But with the TENS she now only uses the cloves at her repetitive motion job.	InTENSity Twin Stim III Digital TENS & EMS Combo Unit + Free AC Adapter Included	https://www.tenspros.com/
